Name,Cuisine,Rating,Price,Liked,DateVisited,Dish,PersonalRating
Sushi TLV,Sushi,4.6,2,1,2024-05-01,Spicy Tuna Roll,9
Burger Bar,Burger,4.0,1,0,2024-05-02,Classic Cheeseburger,5
Thai House,Thai,4.4,3,1,2024-05-03,Pad Thai,8
Pizza Roma,Italian,3.8,1,0,2024-05-04,Margherita Pizza,6
Archie,Burger Pub,4.0,3,1,2025-05-05,Philly Cheese Steak,9
Falafel King,Middle Eastern,4.2,1,1,2025-05-05,Pizza,10
Nassi,Burger Pub,3.0,2,1,2025-05-05,Burger,10
Mc'd's,Burger chain,2.0,1,0,2025-05-05,Burger,2
Burgerim,burgers,3.0,1,1,2025-05-05,Burger,9
Flying Dutchman,irish pub,5.0,3,1,2024-07-30,Fries and a side of Guiness,10
Archie,Burger Pub,4.0,3,1,2025-05-05,Pasta ,10
Flying Dutchman,irish pub,5.0,3,1,2025-05-05,Burger,8
Archie,Burger Pub,4.0,3,1,2025-05-05,Burger,10
Archie,Burger Pub,4.0,3,1,2025-05-05,Philly,10
Archie,Burger Pub,4.0,3,1,2025-05-05,Chicken Wings,5
Archie,Burger Pub,4.0,3,0,2025-05-05,pasta,6
Archie,Burger Pub,4.0,3,1,2025-05-05,Burger,10
